taxa,Phylum,Class,Order,Family,Genus,Species
Erpobdella testacea,Annelida,Clitellata,Hirudinida,Erpobdellidae,Erpobdella,Erpobdella testacea
Anoscopus albiger,Arthropoda,Insecta,Hemiptera,Cicadellidae,Anoscopus,Anoscopus albiger
Metriocnemus picipes,Arthropoda,Insecta,Diptera,Chironomidae,Metriocnemus,Metriocnemus picipes
Rhamphomyia crassirostris,Arthropoda,Insecta,Diptera,Empididae,Rhamphomyia,Rhamphomyia crassirostris
Rheocricotopus effusus,Arthropoda,Insecta,Diptera,Chironomidae,Rheocricotopus,Rheocricotopus effusus
Platypalpus aristatus,Arthropoda,Insecta,Diptera,Hybotidae,Platypalpus,Platypalpus aristatus
Physella sp.,Mollusca,Gastropoda,order_Physidae,Physidae,Physella,NA
Dicranomyia didyma,Arthropoda,Insecta,Diptera,Limoniidae,Dicranomyia,Dicranomyia didyma
Athous haemorrhoidalis,Arthropoda,Insecta,Coleoptera,Elateridae,Athous,Athous haemorrhoidalis
Elipsocus moebiusi,Arthropoda,Insecta,Psocoptera,Elipsocidae,Elipsocus,Elipsocus moebiusi
Pollenia hungarica,Arthropoda,Insecta,Diptera,Polleniidae,Pollenia,Pollenia hungarica
Plesiodema pinetella,Arthropoda,Insecta,Hemiptera,Miridae,Plesiodema,Plesiodema pinetella
Stenotaenia linearis,Arthropoda,Chilopoda,Geophilomorpha,Geophilidae,Stenotaenia,Stenotaenia linearis
Fabaeformiscandona fragilis,Arthropoda,Ostracoda,Podocopida,Candonidae,Fabaeformiscandona,Fabaeformiscandona fragilis
Chironomus luridus,Arthropoda,Insecta,Diptera,Chironomidae,Chironomus,Chironomus luridus
Trachytes aegrota,Arthropoda,Arachnida,Mesostigmata,Trachytidae,Trachytes,Trachytes aegrota
Daphnia pulex,Arthropoda,Branchiopoda,Diplostraca,Daphniidae,Daphnia,Daphnia pulex
Philonthus carbonarius,Arthropoda,Insecta,Coleoptera,Staphylinidae,Philonthus,Philonthus carbonarius
Melanostoma sp.,Arthropoda,Insecta,Diptera,Syrphidae,Melanostoma,NA
Dryops nitidulus,Arthropoda,Insecta,Coleoptera,Dryopidae,Dryops,Dryops nitidulus
Coelostoma orbiculare,Arthropoda,Insecta,Coleoptera,Hydrophilidae,Coelostoma,Coelostoma orbiculare
Tipula oleracea,Arthropoda,Insecta,Diptera,Tipulidae,Tipula,Tipula oleracea
Cordulia aenea,Arthropoda,Insecta,Odonata,Corduliidae,Cordulia,Cordulia aenea
Empis nigripes,Arthropoda,Insecta,Diptera,Empididae,Empis,Empis nigripes
Limnephilus sp.,Arthropoda,Insecta,Trichoptera,Limnephilidae,Limnephilus,NA
Limnephilus marmoratus,Arthropoda,Insecta,Trichoptera,Limnephilidae,Limnephilus,Limnephilus marmoratus
Vertagopus arboreus,Arthropoda,Collembola,Entomobryomorpha,Isotomidae,Vertagopus,Vertagopus arboreus
Pollenia sp.,Arthropoda,Insecta,Diptera,Polleniidae,Pollenia,NA
Chlorops hypostigma,Arthropoda,Insecta,Diptera,Chloropidae,Chlorops,Chlorops hypostigma
Smittia edwardsi,Arthropoda,Insecta,Diptera,Chironomidae,Smittia,Smittia edwardsi
Philotarsus picicornis,Arthropoda,Insecta,Psocoptera,Philotarsidae,Philotarsus,Philotarsus picicornis
Sminthurinus elegans,Arthropoda,Collembola,Symphypleona,Katiannidae,Sminthurinus,Sminthurinus elegans
Pseudopachychaeta sp.,Arthropoda,Insecta,Diptera,Chloropidae,Pseudopachychaeta,NA
Tachydromia annulimana,Arthropoda,Insecta,Diptera,Hybotidae,Tachydromia,Tachydromia annulimana
Cheilotrichia cinerascens,Arthropoda,Insecta,Diptera,Limoniidae,Cheilotrichia,Cheilotrichia cinerascens
Cypris pubera,Arthropoda,Ostracoda,Podocopida,Cyprididae,Cypris,Cypris pubera
Heterocypris incongruens,Arthropoda,Ostracoda,Podocopida,Cyprididae,Heterocypris,Heterocypris incongruens
Leuctra digitata,Arthropoda,Insecta,Plecoptera,Leuctridae,Leuctra,Leuctra digitata
Corynoptera forcipata,Arthropoda,Insecta,Diptera,Sciaridae,Corynoptera,Corynoptera forcipata
Potamocypris unicaudata,Arthropoda,Ostracoda,Podocopida,Cyprididae,Potamocypris,Potamocypris unicaudata
Limnius volckmari,Arthropoda,Insecta,Coleoptera,Elmidae,Limnius,Limnius volckmari
Symplecta hybrida,Arthropoda,Insecta,Diptera,Limoniidae,Symplecta,Symplecta hybrida
Philopotamus ludificatus,Arthropoda,Insecta,Trichoptera,Philopotamidae,Philopotamus,Philopotamus ludificatus
Limnephilus lunatus,Arthropoda,Insecta,Trichoptera,Limnephilidae,Limnephilus,Limnephilus lunatus
Procladius sp.,Arthropoda,Insecta,Diptera,Chironomidae,Procladius,NA
Ptinus fur,Arthropoda,Insecta,Coleoptera,Ptinidae,Ptinus,Ptinus fur
Tubifex montanus,Annelida,Clitellata,Tubificida,Naididae,Tubifex,Tubifex montanus
Rheocricotopus sp.,Arthropoda,Insecta,Diptera,Chironomidae,Rheocricotopus,NA
Gerris lacustris,Arthropoda,Insecta,Hemiptera,Gerridae,Gerris,Gerris lacustris
unclassified_Erebidae sp.,Arthropoda,Insecta,Lepidoptera,Erebidae,unclassified_Erebidae,NA
Dasyhelea modesta,Arthropoda,Insecta,Diptera,Ceratopogonidae,Dasyhelea,Dasyhelea modesta
Cricotopus festivellus,Arthropoda,Insecta,Diptera,Chironomidae,Cricotopus,Cricotopus festivellus
Empis sp.,Arthropoda,Insecta,Diptera,Empididae,Empis,NA
Glyptotendipes sp.,Arthropoda,Insecta,Diptera,Chironomidae,Glyptotendipes,NA
Elophila nymphaeata,Arthropoda,Insecta,Lepidoptera,Crambidae,Elophila,Elophila nymphaeata
Ectobius vittiventris,Arthropoda,Insecta,Blattodea,Ectobiidae,Ectobius,Ectobius vittiventris
Philonthus cognatus,Arthropoda,Insecta,Coleoptera,Staphylinidae,Philonthus,Philonthus cognatus
Dixella aestivalis,Arthropoda,Insecta,Diptera,Dixidae,Dixella,Dixella aestivalis
Tanypus kraatzi,Arthropoda,Insecta,Diptera,Chironomidae,Tanypus,Tanypus kraatzi
Orthocladius fuscimanus,Arthropoda,Insecta,Diptera,Chironomidae,Orthocladius,Orthocladius fuscimanus
Philoscia muscorum,Arthropoda,Malacostraca,Isopoda,Philosciidae,Philoscia,Philoscia muscorum
Natarsia punctata,Arthropoda,Insecta,Diptera,Chironomidae,Natarsia,Natarsia punctata
Stylochaeta scirtetica,Gastrotricha,class_Chaetonotida,Chaetonotida,Dasydytidae,Stylochaeta,Stylochaeta scirtetica
Platypalpus sp.,Arthropoda,Insecta,Diptera,Hybotidae,Platypalpus,NA
Aphrodes sp.,Arthropoda,Insecta,Hemiptera,Cicadellidae,Aphrodes,NA
Altica sp.,Arthropoda,Insecta,Coleoptera,Chrysomelidae,Altica,NA
Otiorhynchus meridionalis,Arthropoda,Insecta,Coleoptera,Curculionidae,Otiorhynchus,Otiorhynchus meridionalis
Schoettella ununguiculata,Arthropoda,Collembola,Poduromorpha,Hypogastruridae,Schoettella,Schoettella ununguiculata
Paratanytarsus bituberculatus,Arthropoda,Insecta,Diptera,Chironomidae,Paratanytarsus,Paratanytarsus bituberculatus
Tanytarsus lactescens,Arthropoda,Insecta,Diptera,Chironomidae,Tanytarsus,Tanytarsus lactescens
Potamothrix bavaricus,Annelida,Clitellata,Tubificida,Naididae,Potamothrix,Potamothrix bavaricus
Tabanus maculicornis,Arthropoda,Insecta,Diptera,Tabanidae,Tabanus,Tabanus maculicornis
Quedius laevicollis,Arthropoda,Insecta,Coleoptera,Staphylinidae,Quedius,Quedius laevicollis
Tanytarsus sp.,Arthropoda,Insecta,Diptera,Chironomidae,Tanytarsus,NA
Sarcophaga sp.,Arthropoda,Insecta,Diptera,Sarcophagidae,Sarcophaga,NA
Xenochironomus xenolabis,Arthropoda,Insecta,Diptera,Chironomidae,Xenochironomus,Xenochironomus xenolabis
Platypalpus annulipes,Arthropoda,Insecta,Diptera,Hybotidae,Platypalpus,Platypalpus annulipes
Scaptomyza sp.,Arthropoda,Insecta,Diptera,Drosophilidae,Scaptomyza,NA
Prodiamesa olivacea,Arthropoda,Insecta,Diptera,Chironomidae,Prodiamesa,Prodiamesa olivacea
Crepidodera pluta,Arthropoda,Insecta,Coleoptera,Chrysomelidae,Crepidodera,Crepidodera pluta
Dero sp.,Annelida,Clitellata,Tubificida,Naididae,Dero,NA
Willowsia buskii,Arthropoda,Collembola,Entomobryomorpha,Entomobryidae,Willowsia,Willowsia buskii
Entomobrya nivalis,Arthropoda,Collembola,Entomobryomorpha,Entomobryidae,Entomobrya,Entomobrya nivalis
Rheocricotopus chalybeatus,Arthropoda,Insecta,Diptera,Chironomidae,Rheocricotopus,Rheocricotopus chalybeatus
Erioptera griseipennis,Arthropoda,Insecta,Diptera,Limoniidae,Erioptera,Erioptera griseipennis
Bezzia bicolor,Arthropoda,Insecta,Diptera,Ceratopogonidae,Bezzia,Bezzia bicolor
Megaselia sp.,Arthropoda,Insecta,Diptera,Phoridae,Megaselia,NA
Pilophorus confusus,Arthropoda,Insecta,Hemiptera,Miridae,Pilophorus,Pilophorus confusus
Bezzia sp.,Arthropoda,Insecta,Diptera,Ceratopogonidae,Bezzia,NA
Rheocricotopus robacki,Arthropoda,Insecta,Diptera,Chironomidae,Rheocricotopus,Rheocricotopus robacki
Aulodrilus pluriseta,Annelida,Clitellata,Tubificida,Naididae,Aulodrilus,Aulodrilus pluriseta
Limnophora olympiae,Arthropoda,Insecta,Diptera,Muscidae,Limnophora,Limnophora olympiae
Aphrodes makarovi,Arthropoda,Insecta,Hemiptera,Cicadellidae,Aphrodes,Aphrodes makarovi
Rheocricotopus fuscipes,Arthropoda,Insecta,Diptera,Chironomidae,Rheocricotopus,Rheocricotopus fuscipes
Hypogastrura purpurescens,Arthropoda,Collembola,Poduromorpha,Hypogastruridae,Hypogastrura,Hypogastrura purpurescens
Pseudolimnophila ebullata,Arthropoda,Insecta,Diptera,Limoniidae,Pseudolimnophila,Pseudolimnophila ebullata
Psectrocladius sp.,Arthropoda,Insecta,Diptera,Chironomidae,Psectrocladius,NA
Isoperla grammatica,Arthropoda,Insecta,Plecoptera,Perlodidae,Isoperla,Isoperla grammatica
Simocephalus vetulus,Arthropoda,Branchiopoda,Diplostraca,Daphniidae,Simocephalus,Simocephalus vetulus
Hydrellia maura,Arthropoda,Insecta,Diptera,Ephydridae,Hydrellia,Hydrellia maura
Anopheles maculipennis,Arthropoda,Insecta,Diptera,Culicidae,Anopheles,Anopheles maculipennis
Orthochordeumella pallida,Arthropoda,Diplopoda,Chordeumatida,Chordeumatidae,Orthochordeumella,Orthochordeumella pallida
Polypedilum arundineti,Arthropoda,Insecta,Diptera,Chironomidae,Polypedilum,Polypedilum arundineti
Trachelipus rathkii,Arthropoda,Malacostraca,Isopoda,Trachelipodidae,Trachelipus,Trachelipus rathkii
Crepidodera aurata,Arthropoda,Insecta,Coleoptera,Chrysomelidae,Crepidodera,Crepidodera aurata
Psychoda gemina,Arthropoda,Insecta,Diptera,Psychodidae,Psychoda,Psychoda gemina
Orientus ishidae,Arthropoda,Insecta,Hemiptera,Cicadellidae,Orientus,Orientus ishidae
Pseudosmittia gracilis,Arthropoda,Insecta,Diptera,Chironomidae,Pseudosmittia,Pseudosmittia gracilis
Aeshna cyanea,Arthropoda,Insecta,Odonata,Aeshnidae,Aeshna,Aeshna cyanea
Quedius sp.,Arthropoda,Insecta,Coleoptera,Staphylinidae,Quedius,NA
Lithobius forficatus,Arthropoda,Chilopoda,Lithobiomorpha,Lithobiidae,Lithobius,Lithobius forficatus
Oligota pumilio,Arthropoda,Insecta,Coleoptera,Staphylinidae,Oligota,Oligota pumilio
Psectrocladius psilopterus,Arthropoda,Insecta,Diptera,Chironomidae,Psectrocladius,Psectrocladius psilopterus
Megasternum sp.,Arthropoda,Insecta,Coleoptera,Hydrophilidae,Megasternum,NA
Tipula sp.,Arthropoda,Insecta,Diptera,Tipulidae,Tipula,NA
Trochosa sp.,Arthropoda,Arachnida,Araneae,Lycosidae,Trochosa,NA
Chironomus lugubris,Arthropoda,Insecta,Diptera,Chironomidae,Chironomus,Chironomus lugubris
Cricotopus annulator,Arthropoda,Insecta,Diptera,Chironomidae,Cricotopus,Cricotopus annulator
Berginus tamarisci,Arthropoda,Insecta,Coleoptera,Mycetophagidae,Berginus,Berginus tamarisci
Scolopostethus affinis,Arthropoda,Insecta,Hemiptera,Rhyparochromidae,Scolopostethus,Scolopostethus affinis
Fannia pallitibia,Arthropoda,Insecta,Diptera,Fanniidae,Fannia,Fannia pallitibia
Scaptomyza pallida,Arthropoda,Insecta,Diptera,Drosophilidae,Scaptomyza,Scaptomyza pallida
Dasyhelea turficola,Arthropoda,Insecta,Diptera,Ceratopogonidae,Dasyhelea,Dasyhelea turficola
Brillia bifida,Arthropoda,Insecta,Diptera,Chironomidae,Brillia,Brillia bifida
Tubifex tubifex,Annelida,Clitellata,Tubificida,Naididae,Tubifex,Tubifex tubifex
Altica oleracea,Arthropoda,Insecta,Coleoptera,Chrysomelidae,Altica,Altica oleracea
Nais communis,Annelida,Clitellata,Tubificida,Naididae,Nais,Nais communis
Brachychaeteuma bradeae,Arthropoda,Diplopoda,Chordeumatida,Brachychaeteumatidae,Brachychaeteuma,Brachychaeteuma bradeae
Trox scaber,Arthropoda,Insecta,Coleoptera,Trogidae,Trox,Trox scaber
Libellula quadrimaculata,Arthropoda,Insecta,Odonata,Libellulidae,Libellula,Libellula quadrimaculata
Melogona voigti,Arthropoda,Diplopoda,Chordeumatida,Chordeumatidae,Melogona,Melogona voigti
Thalassaphorura sp.,Arthropoda,Collembola,Poduromorpha,Onychiuridae,Thalassaphorura,NA
Polypedilum albicorne,Arthropoda,Insecta,Diptera,Chironomidae,Polypedilum,Polypedilum albicorne
Tanytarsus brundini,Arthropoda,Insecta,Diptera,Chironomidae,Tanytarsus,Tanytarsus brundini
Platypalpus australominutus,Arthropoda,Insecta,Diptera,Hybotidae,Platypalpus,Platypalpus australominutus
Nepa cinerea,Arthropoda,Insecta,Hemiptera,Nepidae,Nepa,Nepa cinerea
Hydromya dorsalis,Arthropoda,Insecta,Diptera,Sciomyzidae,Hydromya,Hydromya dorsalis
Pergamasus mirabilis,Arthropoda,Arachnida,Mesostigmata,Parasitidae,Pergamasus,Pergamasus mirabilis
Lonchoptera lutea,Arthropoda,Insecta,Diptera,Lonchopteridae,Lonchoptera,Lonchoptera lutea
Melampophylax melampus,Arthropoda,Insecta,Trichoptera,Limnephilidae,Melampophylax,Melampophylax melampus
Chrysotus sp.,Arthropoda,Insecta,Diptera,Dolichopodidae,Chrysotus,NA
Eisenia sp.,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Eisenia,NA
Trochosa terricola,Arthropoda,Arachnida,Araneae,Lycosidae,Trochosa,Trochosa terricola
Tachyporus sp.,Arthropoda,Insecta,Coleoptera,Staphylinidae,Tachyporus,NA
Delia sp.,Arthropoda,Insecta,Diptera,Anthomyiidae,Delia,NA
Metriocnemus fuscipes,Arthropoda,Insecta,Diptera,Chironomidae,Metriocnemus,Metriocnemus fuscipes
Hyloniscus riparius,Arthropoda,Malacostraca,Isopoda,Trichoniscidae,Hyloniscus,Hyloniscus riparius
Helochares lividus,Arthropoda,Insecta,Coleoptera,Hydrophilidae,Helochares,Helochares lividus
Polypedilum convictum,Arthropoda,Insecta,Diptera,Chironomidae,Polypedilum,Polypedilum convictum
Myrmica sp.,Arthropoda,Insecta,Hymenoptera,Formicidae,Myrmica,NA
Kleidocerys resedae,Arthropoda,Insecta,Hemiptera,Lygaeidae,Kleidocerys,Kleidocerys resedae
Dero zeylanica,Annelida,Clitellata,Tubificida,Naididae,Dero,Dero zeylanica
Limnophora riparia,Arthropoda,Insecta,Diptera,Muscidae,Limnophora,Limnophora riparia
Psychoda alternata,Arthropoda,Insecta,Diptera,Psychodidae,Psychoda,Psychoda alternata
Synendotendipes impar,Arthropoda,Insecta,Diptera,Chironomidae,Synendotendipes,Synendotendipes impar
Branchiura sowerbyi,Annelida,Clitellata,Tubificida,Naididae,Branchiura,Branchiura sowerbyi
Lesteva sp.,Arthropoda,Insecta,Coleoptera,Staphylinidae,Lesteva,NA
Globulidrilus riparius,Annelida,Clitellata,Enchytraeida,Enchytraeidae,Globulidrilus,Globulidrilus riparius
Agromyza pseudoreptans,Arthropoda,Insecta,Diptera,Agromyzidae,Agromyza,Agromyza pseudoreptans
Nanocladius rectinervis,Arthropoda,Insecta,Diptera,Chironomidae,Nanocladius,Nanocladius rectinervis
Stelidota geminata,Arthropoda,Insecta,Coleoptera,Nitidulidae,Stelidota,Stelidota geminata
Amara sp.,Arthropoda,Insecta,Coleoptera,Carabidae,Amara,NA
Pedicia littoralis,Arthropoda,Insecta,Diptera,Pediciidae,Pedicia,Pedicia littoralis
Bradysia brevispina,Arthropoda,Insecta,Diptera,Sciaridae,Bradysia,Bradysia brevispina
Tanytarsus signatus,Arthropoda,Insecta,Diptera,Chironomidae,Tanytarsus,Tanytarsus signatus
Phylidorea ferruginea,Arthropoda,Insecta,Diptera,Limoniidae,Phylidorea,Phylidorea ferruginea
Limnius perrisi,Arthropoda,Insecta,Coleoptera,Elmidae,Limnius,Limnius perrisi
Pseudolimnophila lucorum,Arthropoda,Insecta,Diptera,Limoniidae,Pseudolimnophila,Pseudolimnophila lucorum
Pergamasus misellus,Arthropoda,Arachnida,Mesostigmata,Parasitidae,Pergamasus,Pergamasus misellus
Tanytarsus occultus,Arthropoda,Insecta,Diptera,Chironomidae,Tanytarsus,Tanytarsus occultus
Cricotopus rufiventris,Arthropoda,Insecta,Diptera,Chironomidae,Cricotopus,Cricotopus rufiventris
Anopheles sp.,Arthropoda,Insecta,Diptera,Culicidae,Anopheles,NA
Cephalops penultimus,Arthropoda,Insecta,Diptera,Pipunculidae,Cephalops,Cephalops penultimus
Cladopelma sp.,Arthropoda,Insecta,Diptera,Chironomidae,Cladopelma,NA
unclassified_Tortricidae sp.,Arthropoda,Insecta,Lepidoptera,Tortricidae,unclassified_Tortricidae,NA
Meliscaeva auricollis,Arthropoda,Insecta,Diptera,Syrphidae,Meliscaeva,Meliscaeva auricollis
Bezzia solstitialis,Arthropoda,Insecta,Diptera,Ceratopogonidae,Bezzia,Bezzia solstitialis
unclassified_Cyclopidae sp.,Arthropoda,Hexanauplia,Cyclopoida,Cyclopidae,unclassified_Cyclopidae,NA
Thienemanniella obscura,Arthropoda,Insecta,Diptera,Chironomidae,Thienemanniella,Thienemanniella obscura
Agabus nebulosus,Arthropoda,Insecta,Coleoptera,Dytiscidae,Agabus,Agabus nebulosus
Metopina galeata,Arthropoda,Insecta,Diptera,Phoridae,Metopina,Metopina galeata
Candonopsis kingsleii,Arthropoda,Ostracoda,Podocopida,Candonidae,Candonopsis,Candonopsis kingsleii
Microchrysa sp.,Arthropoda,Insecta,Diptera,Stratiomyidae,Microchrysa,NA
Ameroseius corbiculus,Arthropoda,Arachnida,Mesostigmata,Ameroseiidae,Ameroseius,Ameroseius corbiculus
Fridericia striata,Annelida,Clitellata,Enchytraeida,Enchytraeidae,Fridericia,Fridericia striata
Caenis luctuosa,Arthropoda,Insecta,Ephemeroptera,Caenidae,Caenis,Caenis luctuosa
Odontocerum albicorne,Arthropoda,Insecta,Trichoptera,Odontoceridae,Odontocerum,Odontocerum albicorne
Polypedilum scalaenum,Arthropoda,Insecta,Diptera,Chironomidae,Polypedilum,Polypedilum scalaenum
Longitarsus pulmonariae,Arthropoda,Insecta,Coleoptera,Chrysomelidae,Longitarsus,Longitarsus pulmonariae
Ilyodrilus templetoni,Annelida,Clitellata,Tubificida,Naididae,Ilyodrilus,Ilyodrilus templetoni
Parophonus maculicornis,Arthropoda,Insecta,Coleoptera,Carabidae,Parophonus,Parophonus maculicornis
Cephalops sp.,Arthropoda,Insecta,Diptera,Pipunculidae,Cephalops,NA
Procladius signatus,Arthropoda,Insecta,Diptera,Chironomidae,Procladius,Procladius signatus
Chironomus thummi,Arthropoda,Insecta,Diptera,Chironomidae,Chironomus,Chironomus thummi
Cypha longicornis,Arthropoda,Insecta,Coleoptera,Staphylinidae,Cypha,Cypha longicornis
Pollenia rudis,Arthropoda,Insecta,Diptera,Polleniidae,Pollenia,Pollenia rudis
Campaea margaritaria,Arthropoda,Insecta,Lepidoptera,Geometridae,Campaea,Campaea margaritaria
Chydorus sphaericus,Arthropoda,Branchiopoda,Diplostraca,Chydoridae,Chydorus,Chydorus sphaericus
Hydrodroma despiciens,Arthropoda,Arachnida,Trombidiformes,Hydrodromidae,Hydrodroma,Hydrodroma despiciens
Lobrathium multipunctum,Arthropoda,Insecta,Coleoptera,Staphylinidae,Lobrathium,Lobrathium multipunctum
Micropsectra klinki,Arthropoda,Insecta,Diptera,Chironomidae,Micropsectra,Micropsectra klinki
Sciaphilus asperatus,Arthropoda,Insecta,Coleoptera,Curculionidae,Sciaphilus,Sciaphilus asperatus
Eukiefferiella sp.,Arthropoda,Insecta,Diptera,Chironomidae,Eukiefferiella,NA
Platypalpus agilis,Arthropoda,Insecta,Diptera,Hybotidae,Platypalpus,Platypalpus agilis
Otiorhynchus salicicola,Arthropoda,Insecta,Coleoptera,Curculionidae,Otiorhynchus,Otiorhynchus salicicola
Rhantus suturalis,Arthropoda,Insecta,Coleoptera,Dytiscidae,Rhantus,Rhantus suturalis
Tipula paludosa,Arthropoda,Insecta,Diptera,Tipulidae,Tipula,Tipula paludosa
Scatella tenuicosta,Arthropoda,Insecta,Diptera,Ephydridae,Scatella,Scatella tenuicosta
Ischnura sp.,Arthropoda,Insecta,Odonata,Coenagrionidae,Ischnura,NA
Holoparasitus calcaratus,Arthropoda,Arachnida,Mesostigmata,Parasitidae,Holoparasitus,Holoparasitus calcaratus
Cyclops abyssorum,Arthropoda,Hexanauplia,Cyclopoida,Cyclopidae,Cyclops,Cyclops abyssorum
Empis caudatula,Arthropoda,Insecta,Diptera,Empididae,Empis,Empis caudatula
Drusilla canaliculata,Arthropoda,Insecta,Coleoptera,Staphylinidae,Drusilla,Drusilla canaliculata
Amphinemura triangularis,Arthropoda,Insecta,Plecoptera,Nemouridae,Amphinemura,Amphinemura triangularis
Entomobrya marginata,Arthropoda,Collembola,Entomobryomorpha,Entomobryidae,Entomobrya,Entomobrya marginata
Dryops luridus,Arthropoda,Insecta,Coleoptera,Dryopidae,Dryops,Dryops luridus
Cybister lateralimarginalis,Arthropoda,Insecta,Coleoptera,Dytiscidae,Cybister,Cybister lateralimarginalis
Pergamasus vagabundus,Arthropoda,Arachnida,Mesostigmata,Parasitidae,Pergamasus,Pergamasus vagabundus
Notonecta maculata,Arthropoda,Insecta,Hemiptera,Notonectidae,Notonecta,Notonecta maculata
Guttipelopia guttipennis,Arthropoda,Insecta,Diptera,Chironomidae,Guttipelopia,Guttipelopia guttipennis
Dohrniphora cornuta,Arthropoda,Insecta,Diptera,Phoridae,Dohrniphora,Dohrniphora cornuta
Neoascia sp.,Arthropoda,Insecta,Diptera,Syrphidae,Neoascia,NA
Clogmia albipunctata,Arthropoda,Insecta,Diptera,Psychodidae,Clogmia,Clogmia albipunctata
Rheocricotopus atripes,Arthropoda,Insecta,Diptera,Chironomidae,Rheocricotopus,Rheocricotopus atripes
Oplodontha viridula,Arthropoda,Insecta,Diptera,Stratiomyidae,Oplodontha,Oplodontha viridula
Eiseniella tetraedra,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Eiseniella,Eiseniella tetraedra
Psychoda phalaenoides,Arthropoda,Insecta,Diptera,Psychodidae,Psychoda,Psychoda phalaenoides
Contacyphon sp.,Arthropoda,Insecta,Coleoptera,Scirtidae,Contacyphon,NA
Palpomyia spinipes,Arthropoda,Insecta,Diptera,Ceratopogonidae,Palpomyia,Palpomyia spinipes
Lumbricus castaneus,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Lumbricus,Lumbricus castaneus
Cricotopus arcuatus,Arthropoda,Insecta,Diptera,Chironomidae,Cricotopus,Cricotopus arcuatus
Stenaphorura denisi,Arthropoda,Collembola,Poduromorpha,Tullbergiidae,Stenaphorura,Stenaphorura denisi
Enchytraeus lacteus,Annelida,Clitellata,Enchytraeida,Enchytraeidae,Enchytraeus,Enchytraeus lacteus
Stempellina bausei,Arthropoda,Insecta,Diptera,Chironomidae,Stempellina,Stempellina bausei
Acanthocyclops sp.,Arthropoda,Hexanauplia,Cyclopoida,Cyclopidae,Acanthocyclops,NA
Tephritis sp.,Arthropoda,Insecta,Diptera,Tephritidae,Tephritis,NA
Catocha latipes,Arthropoda,Insecta,Diptera,Cecidomyiidae,Catocha,Catocha latipes
Ablabesmyia longistyla,Arthropoda,Insecta,Diptera,Chironomidae,Ablabesmyia,Ablabesmyia longistyla
Korscheltellus lupulinus,Arthropoda,Insecta,Lepidoptera,Hepialidae,Korscheltellus,Korscheltellus lupulinus
Elmis perezi,Arthropoda,Insecta,Coleoptera,Elmidae,Elmis,Elmis perezi
Phytomyza wahlgreni,Arthropoda,Insecta,Diptera,Agromyzidae,Phytomyza,Phytomyza wahlgreni
Drosophila funebris,Arthropoda,Insecta,Diptera,Drosophilidae,Drosophila,Drosophila funebris
Megaselia consetigera,Arthropoda,Insecta,Diptera,Phoridae,Megaselia,Megaselia consetigera
Tanypus vilipennis,Arthropoda,Insecta,Diptera,Chironomidae,Tanypus,Tanypus vilipennis
Procloeon pennulatum,Arthropoda,Insecta,Ephemeroptera,Baetidae,Procloeon,Procloeon pennulatum
Lepidocyrtus lanuginosus,Arthropoda,Collembola,Entomobryomorpha,Entomobryidae,Lepidocyrtus,Lepidocyrtus lanuginosus
Pristina longiseta,Annelida,Clitellata,Tubificida,Naididae,Pristina,Pristina longiseta
Serica brunnea,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Serica,Serica brunnea
Chironomus pseudothummi,Arthropoda,Insecta,Diptera,Chironomidae,Chironomus,Chironomus pseudothummi
unclassified_Crambidae sp.,Arthropoda,Insecta,Lepidoptera,Crambidae,unclassified_Crambidae,NA
Stylaria lacustris,Annelida,Clitellata,Tubificida,Naididae,Stylaria,Stylaria lacustris
Ceratophysella gibbosa,Arthropoda,Collembola,Poduromorpha,Hypogastruridae,Ceratophysella,Ceratophysella gibbosa
Isoperla oxylepis,Arthropoda,Insecta,Plecoptera,Perlodidae,Isoperla,Isoperla oxylepis
Corynoptera subparvula,Arthropoda,Insecta,Diptera,Sciaridae,Corynoptera,Corynoptera subparvula
Arrenurus suecicus,Arthropoda,Arachnida,Trombidiformes,Arrenuridae,Arrenurus,Arrenurus suecicus
Limnephilus vittatus,Arthropoda,Insecta,Trichoptera,Limnephilidae,Limnephilus,Limnephilus vittatus
Rhodacarellus silesiacus,Arthropoda,Arachnida,Mesostigmata,Rhodacaridae,Rhodacarellus,Rhodacarellus silesiacus
Eukiefferiella endobryonia,Arthropoda,Insecta,Diptera,Chironomidae,Eukiefferiella,Eukiefferiella endobryonia
Arion sp.,Mollusca,Gastropoda,Stylommatophora,Arionidae,Arion,NA
Hydroporus planus,Arthropoda,Insecta,Coleoptera,Dytiscidae,Hydroporus,Hydroporus planus
Melanogaster aerosa,Arthropoda,Insecta,Diptera,Syrphidae,Melanogaster,Melanogaster aerosa
Dicyphus errans,Arthropoda,Insecta,Hemiptera,Miridae,Dicyphus,Dicyphus errans
Fannia sp.,Arthropoda,Insecta,Diptera,Fanniidae,Fannia,NA
Mesenchytraeus pelicensis,Annelida,Clitellata,Enchytraeida,Enchytraeidae,Mesenchytraeus,Mesenchytraeus pelicensis
Cheilosia urbana,Arthropoda,Insecta,Diptera,Syrphidae,Cheilosia,Cheilosia urbana
