Interaction,Source_Name,Target_Name,Source_Rank,Target_Rank,ID,Source_Life_Stage,Target_Life_Stage
Coenagrionidae Caenidae,Coenagrionidae,Caenidae,Family,Family,2,Young,Young
Coenagrionidae Calliphoridae,Coenagrionidae,Calliphoridae,Family,Family,1; 2,Adult,
Coenagrionidae Cantharidae,Coenagrionidae,Cantharidae,Family,Family,1,,
Coenagrionidae Capniidae,Coenagrionidae,Capniidae,Family,Family,2,Young,Young
Coenagrionidae Carabidae,Coenagrionidae,Carabidae,Family,Family,2,Adult,
Coenagrionidae Cecidomyiidae,Coenagrionidae,Cecidomyiidae,Family,Family,1; 2,Adult,
Coenagrionidae Ceratopogonidae,Coenagrionidae,Ceratopogonidae,Family,Family,1; 2,Young and Adult,Young and Adult
Coenagrionidae Chironomidae,Coenagrionidae,Chironomidae,Family,Family,1; 2,Young and Adult,Young and Adult
Coenagrionidae Chloropidae,Coenagrionidae,Chloropidae,Family,Family,1,,
Coenagrionidae Chrysomelidae,Coenagrionidae,Chrysomelidae,Family,Family,1; 2,Young,Young
Coenagrionidae Coccinellidae,Coenagrionidae,Coccinellidae,Family,Family,1; 2,Adult,
Coenagrionidae Coenagrionidae,Coenagrionidae,Coenagrionidae,Family,Family,1,Young and Adult,Young and Adult
Coenagrionidae Culicidae,Coenagrionidae,Culicidae,Family,Family,2,Young,Young
Coenagrionidae Curculionidae,Coenagrionidae,Curculionidae,Family,Family,1; 2,Young,Young
Coenagrionidae Dixidae,Coenagrionidae,Dixidae,Family,Family,2,Young,Young
Coenagrionidae Dolichopodidae,Coenagrionidae,Dolichopodidae,Family,Family,1; 2,Adult,
Coenagrionidae Drosophilidae,Coenagrionidae,Drosophilidae,Family,Family,1,,
Coenagrionidae Dryopidae,Coenagrionidae,Dryopidae,Family,Family,2,Young,Young
Coenagrionidae Dytiscidae,Coenagrionidae,Dytiscidae,Family,Family,1; 2,Young and Adult,Young and Adult
Coenagrionidae Elateridae,Coenagrionidae,Elateridae,Family,Family,1,Young,Young
Coenagrionidae Elmidae,Coenagrionidae,Elmidae,Family,Family,2,Young,Young
Coenagrionidae Empididae,Coenagrionidae,Empididae,Family,Family,1,,
Coenagrionidae Ephemeridae,Coenagrionidae,Ephemeridae,Family,Family,2,Young and Adult,Young
Coenagrionidae Ephydridae,Coenagrionidae,Ephydridae,Family,Family,1; 2,Young and Adult,Young
Coenagrionidae Erebidae,Coenagrionidae,Erebidae,Family,Family,2,Adult,
Coenagrionidae Formicidae,Coenagrionidae,Formicidae,Family,Family,2,Adult,
Coenagrionidae Gammaridae,Coenagrionidae,Gammaridae,Family,Family,1; 2,Young,Young
Coenagrionidae Geometridae,Coenagrionidae,Geometridae,Family,Family,2,Adult,
Coenagrionidae Gerridae,Coenagrionidae,Gerridae,Family,Family,1,Young and Adult,Young and Adult
Coenagrionidae Haliplidae,Coenagrionidae,Haliplidae,Family,Family,1; 2,Young and Adult,Young and Adult
Coenagrionidae Heptageniidae,Coenagrionidae,Heptageniidae,Family,Family,2,Young and Adult,Young
Coenagrionidae Hybotidae,Coenagrionidae,Hybotidae,Family,Family,1,,
Coenagrionidae Hydrophilidae,Coenagrionidae,Hydrophilidae,Family,Family,2,Young,Young
Coenagrionidae Lepidostomatidae,Coenagrionidae,Lepidostomatidae,Family,Family,2,Young,Young
Coenagrionidae Leuctridae,Coenagrionidae,Leuctridae,Family,Family,2,Young,Young
Coenagrionidae Limnephilidae,Coenagrionidae,Limnephilidae,Family,Family,1; 2,Young,Young
Coenagrionidae Limoniidae,Coenagrionidae,Limoniidae,Family,Family,1; 2,Young,Young
Coenagrionidae Lymnaeidae,Coenagrionidae,Lymnaeidae,Family,Family,2,Young,Young
Coenagrionidae Miridae,Coenagrionidae,Miridae,Family,Family,2,Adult,
Coenagrionidae Muscidae,Coenagrionidae,Muscidae,Family,Family,1; 2,Adult,
Coenagrionidae Nemouridae,Coenagrionidae,Nemouridae,Family,Family,1; 2,Young,Young
Coenagrionidae Nitidulidae,Coenagrionidae,Nitidulidae,Family,Family,1,,
Coenagrionidae Noctuidae,Coenagrionidae,Noctuidae,Family,Family,2,Adult,
Coenagrionidae Notonectidae,Coenagrionidae,Notonectidae,Family,Family,1,Young and Adult,Young and Adult
Coenagrionidae Philopotamidae,Coenagrionidae,Philopotamidae,Family,Family,2,Young,Young
Coenagrionidae Phoridae,Coenagrionidae,Phoridae,Family,Family,1,,
Coenagrionidae Physidae,Coenagrionidae,Physidae,Family,Family,2,Young,Young
Coenagrionidae Plankton,Coenagrionidae,Plankton,Family,Feeding guild,2,Young,
Coenagrionidae Plants,Coenagrionidae,Plants,Family,Feeding guild,2,,
Coenagrionidae Platypezidae,Coenagrionidae,Platypezidae,Family,Family,2,Adult,
Coenagrionidae Psychodidae,Coenagrionidae,Psychodidae,Family,Family,1; 2,Young and Adult,Young and Adult
Coenagrionidae Ptychopteridae,Coenagrionidae,Ptychopteridae,Family,Family,2,Young,Young
Coenagrionidae Sarcophagidae,Coenagrionidae,Sarcophagidae,Family,Family,1,,
Coenagrionidae Scarabaeidae,Coenagrionidae,Scarabaeidae,Family,Family,2,Adult,
Coenagrionidae Sciaridae,Coenagrionidae,Sciaridae,Family,Family,1; 2,Adult,
Coenagrionidae Sciomyzidae,Coenagrionidae,Sciomyzidae,Family,Family,1; 2,Adult,
Coenagrionidae Scirtidae,Coenagrionidae,Scirtidae,Family,Family,2,Young,Young
Coenagrionidae Sialidae,Coenagrionidae,Sialidae,Family,Family,1; 2,Young and Adult,Young
Coenagrionidae Simuliidae,Coenagrionidae,Simuliidae,Family,Family,2,Young,Young
Coenagrionidae Staphylinidae,Coenagrionidae,Staphylinidae,Family,Family,2,Adult,
Coenagrionidae Stratiomyidae,Coenagrionidae,Stratiomyidae,Family,Family,2,Young,Young
Coenagrionidae Syrphidae,Coenagrionidae,Syrphidae,Family,Family,1; 2,Young,Young
Coenagrionidae Tephritidae,Coenagrionidae,Tephritidae,Family,Family,2,Adult,
Coenagrionidae Tipulidae,Coenagrionidae,Tipulidae,Family,Family,1; 2,Young,Young
Coenagrionidae Tortricidae,Coenagrionidae,Tortricidae,Family,Family,2,Adult,
Collembola Fungi,Collembola,Fungi,Feeding guild,Feeding guild,17; 22; 23; 24; 31; 34,Young and Adult,
Collembola Plants,Collembola,Plants,Feeding guild,Feeding guild,17; 33,Young and Adult,
Collembola Terrestrial detritus,Collembola,Terrestrial detritus,Feeding guild,Feeding guild,12; 32; 33,Young and Adult,
Corduliidae Agromyzidae,Corduliidae,Agromyzidae,Family,Family,1,,
Corduliidae Annelida,Corduliidae,Annelida,Family,Feeding guild,81,Young,Young and Adult
Corduliidae Arrenuridae,Corduliidae,Arrenuridae,Family,Family,48,Young,Young
Corduliidae Baetidae,Corduliidae,Baetidae,Family,Family,1,,
Corduliidae Caenidae,Corduliidae,Caenidae,Family,Family,1,,
Corduliidae Calliphoridae,Corduliidae,Calliphoridae,Family,Family,1,,
Corduliidae Cantharidae,Corduliidae,Cantharidae,Family,Family,1,,
Corduliidae Cecidomyiidae,Corduliidae,Cecidomyiidae,Family,Family,1,,
Corduliidae Ceratopogonidae,Corduliidae,Ceratopogonidae,Family,Family,1,,
Corduliidae Chironomidae,Corduliidae,Chironomidae,Family,Family,1,,
Corduliidae Chloropidae,Corduliidae,Chloropidae,Family,Family,1,,
Corduliidae Chrysomelidae,Corduliidae,Chrysomelidae,Family,Family,1,,
Corduliidae Coccinellidae,Corduliidae,Coccinellidae,Family,Family,1,,
Corduliidae Coenagrionidae,Corduliidae,Coenagrionidae,Family,Family,1,,
Corduliidae Curculionidae,Corduliidae,Curculionidae,Family,Family,1,,
Corduliidae Dolichopodidae,Corduliidae,Dolichopodidae,Family,Family,1,,
Corduliidae Drosophilidae,Corduliidae,Drosophilidae,Family,Family,1,,
Corduliidae Dytiscidae,Corduliidae,Dytiscidae,Family,Family,1,,
Corduliidae Elateridae,Corduliidae,Elateridae,Family,Family,1,Young,Young
Corduliidae Empididae,Corduliidae,Empididae,Family,Family,1,,
Corduliidae Ephydridae,Corduliidae,Ephydridae,Family,Family,1,,
Corduliidae Haliplidae,Corduliidae,Haliplidae,Family,Family,1,,
Corduliidae Hepialidae,Corduliidae,Hepialidae,Family,Family,70,Adult,Adult
Corduliidae Hybotidae,Corduliidae,Hybotidae,Family,Family,1,,
Corduliidae Lauxaniidae,Corduliidae,Lauxaniidae,Family,Family,76,Adult,
Corduliidae Limnephilidae,Corduliidae,Limnephilidae,Family,Family,1,,
Corduliidae Limoniidae,Corduliidae,Limoniidae,Family,Family,1,,
Corduliidae Lonchopteridae,Corduliidae,Lonchopteridae,Family,Family,79,Adult,Adult
Corduliidae Lymnaeidae,Corduliidae,Lymnaeidae,Family,Family,1,,
Corduliidae Muscidae,Corduliidae,Muscidae,Family,Family,1,,
Corduliidae Nitidulidae,Corduliidae,Nitidulidae,Family,Family,1,,
Corduliidae Noctuidae,Corduliidae,Noctuidae,Family,Family,1,,
Corduliidae Phoridae,Corduliidae,Phoridae,Family,Family,1,,
Corduliidae Plants,Corduliidae,Plants,Family,Feeding guild,2,,
Corduliidae Psychodidae,Corduliidae,Psychodidae,Family,Family,1,Adult,Adult
Corduliidae Sarcophagidae,Corduliidae,Sarcophagidae,Family,Family,1,,
Corduliidae Sciaridae,Corduliidae,Sciaridae,Family,Family,1,,
Corduliidae Sciomyzidae,Corduliidae,Sciomyzidae,Family,Family,1,,
Corduliidae Syrphidae,Corduliidae,Syrphidae,Family,Family,1,,
Corduliidae Tipulidae,Corduliidae,Tipulidae,Family,Family,1,,
Crambidae Limoniidae,Crambidae,Limoniidae,Family,Family,1,,
Crambidae Plants,Crambidae,Plants,Family,Feeding guild,2,Young and Adult,
Culicidae Aquatic detritus,Culicidae,Aquatic detritus,Family,Feeding guild,2,Young,
Culicidae Candonidae,Culicidae,Candonidae,Family,Family,51,Young,
Culicidae Culicidae,Culicidae,Culicidae,Family,Family,1,Young,Young
Culicidae Cyprididae,Culicidae,Cyprididae,Family,Family,51,Young,
Culicidae Haematophagous,Culicidae,Haematophagous,Family,Feeding guild,2,Adult,
Culicidae Plankton,Culicidae,Plankton,Family,Feeding guild,2,Young,
Culicidae Plants,Culicidae,Plants,Family,Feeding guild,2,Young and Adult,Young
Curculionidae Curculionidae,Curculionidae,Curculionidae,Family,Family,1; 2,,
Curculionidae Plants,Curculionidae,Plants,Family,Feeding guild,2,Young and Adult,Young
Curculionidae Tenthredinidae,Curculionidae,Tenthredinidae,Family,Family,1; 2,Young,Young
Curculionidae Terrestrial detritus,Curculionidae,Terrestrial detritus,Family,Feeding guild,2,Young,
Cyclopidae Algae,Cyclopidae,Algae,Family,Feeding guild,8,Young and Adult,
Cyclopidae Brachionidae,Cyclopidae,Brachionidae,Family,Family,49,,
Cyclopidae Chironomidae,Cyclopidae,Chironomidae,Family,Family,8,Young and Adult,
Cyprididae Algae,Cyprididae,Algae,Family,Feeding guild,9,Young and Adult,
Cyprididae Aquatic detritus,Cyprididae,Aquatic detritus,Family,Feeding guild,9,Young and Adult,
Daphniidae Algae,Daphniidae,Algae,Family,Feeding guild,10,Young and Adult,
Daphniidae Aquatic detritus,Daphniidae,Aquatic detritus,Family,Feeding guild,10,Young and Adult,
Darwinulidae Algae,Darwinulidae,Algae,Family,Feeding guild,9,Young and Adult,
Darwinulidae Aquatic detritus,Darwinulidae,Aquatic detritus,Family,Feeding guild,9,Young and Adult,
Dasydytidae Aquatic detritus,Dasydytidae,Aquatic detritus,Family,Feeding guild,11,Young and Adult,
Dixidae Aquatic detritus,Dixidae,Aquatic detritus,Family,Feeding guild,2,Young,
Dixidae Plankton,Dixidae,Plankton,Family,Feeding guild,2,Young,
Dixidae Plants,Dixidae,Plants,Family,Feeding guild,2,Young,Young
Dolichopodidae Annelida,Dolichopodidae,Annelida,Family,Feeding guild,2; 64,Young and Adult,Young and Adult
Dolichopodidae Baetidae,Dolichopodidae,Baetidae,Family,Family,2,Young,Young
Dolichopodidae Caenidae,Dolichopodidae,Caenidae,Family,Family,2,Young,Young
Dolichopodidae Capniidae,Dolichopodidae,Capniidae,Family,Family,2,Young,Young
Dolichopodidae Ceratopogonidae,Dolichopodidae,Ceratopogonidae,Family,Family,1,,
Dolichopodidae Chironomidae,Dolichopodidae,Chironomidae,Family,Family,1; 2,Young,Young
Dolichopodidae Chloropidae,Dolichopodidae,Chloropidae,Family,Family,1,,
Dolichopodidae Chrysomelidae,Dolichopodidae,Chrysomelidae,Family,Family,2,Young,Young
Dolichopodidae Cicadellidae,Dolichopodidae,Cicadellidae,Family,Family,1,Young,Young
Dolichopodidae Collembola,Dolichopodidae,Collembola,Family,Feeding guild,2,Adult,Adult
Dolichopodidae Culicidae,Dolichopodidae,Culicidae,Family,Family,2,Young,Young
Dolichopodidae Curculionidae,Dolichopodidae,Curculionidae,Family,Family,2,Young,Young
Dolichopodidae Dixidae,Dolichopodidae,Dixidae,Family,Family,2,Young,Young
Dolichopodidae Dolichopodidae,Dolichopodidae,Dolichopodidae,Family,Family,1,,
Dolichopodidae Drosophilidae,Dolichopodidae,Drosophilidae,Family,Family,1,,
Dolichopodidae Dryopidae,Dolichopodidae,Dryopidae,Family,Family,2,Young,Young
Dolichopodidae Elmidae,Dolichopodidae,Elmidae,Family,Family,2,Young,Young
Dolichopodidae Empididae,Dolichopodidae,Empididae,Family,Family,1,,
Dolichopodidae Ephemeridae,Dolichopodidae,Ephemeridae,Family,Family,2,Young,Young
Dolichopodidae Ephydridae,Dolichopodidae,Ephydridae,Family,Family,1; 2,Young,Young
Dolichopodidae Formicidae,Dolichopodidae,Formicidae,Family,Family,1,,
Dolichopodidae Gammaridae,Dolichopodidae,Gammaridae,Family,Family,2,Young,Young
Dolichopodidae Haliplidae,Dolichopodidae,Haliplidae,Family,Family,2,Young,Young
Dolichopodidae Heptageniidae,Dolichopodidae,Heptageniidae,Family,Family,2,Young,Young
Dolichopodidae Hybotidae,Dolichopodidae,Hybotidae,Family,Family,1,,
Dolichopodidae Hydrophilidae,Dolichopodidae,Hydrophilidae,Family,Family,2,Young,Young
Dolichopodidae Lepidostomatidae,Dolichopodidae,Lepidostomatidae,Family,Family,2,Young,Young
Dolichopodidae Leuctridae,Dolichopodidae,Leuctridae,Family,Family,2,Young,Young
Dolichopodidae Limnephilidae,Dolichopodidae,Limnephilidae,Family,Family,2,Young,Young
Dolichopodidae Limoniidae,Dolichopodidae,Limoniidae,Family,Family,2,Young,Young
Dolichopodidae Lymnaeidae,Dolichopodidae,Lymnaeidae,Family,Family,2,Young,Young
Dolichopodidae Muscidae,Dolichopodidae,Muscidae,Family,Family,1,,
Dolichopodidae Nemouridae,Dolichopodidae,Nemouridae,Family,Family,2,Young,Young
Dolichopodidae Philopotamidae,Dolichopodidae,Philopotamidae,Family,Family,2,Young,Young
Dolichopodidae Phoridae,Dolichopodidae,Phoridae,Family,Family,1,,
Dolichopodidae Physidae,Dolichopodidae,Physidae,Family,Family,2,Young,Young
Dolichopodidae Plankton,Dolichopodidae,Plankton,Family,Feeding guild,2,Young,
Dolichopodidae Plants,Dolichopodidae,Plants,Family,Feeding guild,2,Adult,
Dolichopodidae Psychodidae,Dolichopodidae,Psychodidae,Family,Family,1; 2,Young and Adult,Young and Adult
Dolichopodidae Ptychopteridae,Dolichopodidae,Ptychopteridae,Family,Family,2,Young,Young
Dolichopodidae Sciaridae,Dolichopodidae,Sciaridae,Family,Family,1,,
Dolichopodidae Scirtidae,Dolichopodidae,Scirtidae,Family,Family,2,Young,Young
Dolichopodidae Simuliidae,Dolichopodidae,Simuliidae,Family,Family,2,Young,Young
Dolichopodidae Stratiomyidae,Dolichopodidae,Stratiomyidae,Family,Family,2,Young,Young
Dolichopodidae Syrphidae,Dolichopodidae,Syrphidae,Family,Family,2,Young,Young
Dolichopodidae Tipulidae,Dolichopodidae,Tipulidae,Family,Family,2,Young,Young
Drosophilidae Plants,Drosophilidae,Plants,Family,Feeding guild,2,Adult,
Dryopidae Plankton,Dryopidae,Plankton,Family,Feeding guild,2,Young,
Dryopidae Plants,Dryopidae,Plants,Family,Feeding guild,2,Young and Adult,Young
Dytiscidae Aeshnidae,Dytiscidae,Aeshnidae,Family,Family,1,Young,Young
Dytiscidae Annelida,Dytiscidae,Annelida,Family,Feeding guild,2,Young,Young
Dytiscidae Baetidae,Dytiscidae,Baetidae,Family,Family,1; 2,Young,Young
Dytiscidae Caenidae,Dytiscidae,Caenidae,Family,Family,1; 2,Young,Young
Dytiscidae Candonidae,Dytiscidae,Candonidae,Family,Family,51,Young and Adult,
Dytiscidae Cantharidae,Dytiscidae,Cantharidae,Family,Family,1,Young,Young
Dytiscidae Capniidae,Dytiscidae,Capniidae,Family,Family,2,Young,Young
Dytiscidae Ceratopogonidae,Dytiscidae,Ceratopogonidae,Family,Family,1,Young,Young
Dytiscidae Chironomidae,Dytiscidae,Chironomidae,Family,Family,1; 2,Young,Young
Dytiscidae Chordeumatidae,Dytiscidae,Chordeumatidae,Family,Family,1,Young and Adult,Young and Adult
Dytiscidae Chrysomelidae,Dytiscidae,Chrysomelidae,Family,Family,2,Young,Young
Dytiscidae Clubionidae,Dytiscidae,Clubionidae,Family,Family,1,Young,Young
Dytiscidae Coenagrionidae,Dytiscidae,Coenagrionidae,Family,Family,1,Young,Young
Dytiscidae Corduliidae,Dytiscidae,Corduliidae,Family,Family,1,,
Dytiscidae Culicidae,Dytiscidae,Culicidae,Family,Family,1; 2,Young,Young
Dytiscidae Curculionidae,Dytiscidae,Curculionidae,Family,Family,1; 2,Young and Adult,Young and Adult
Dytiscidae Dixidae,Dytiscidae,Dixidae,Family,Family,2,Young,Young
Dytiscidae Dryopidae,Dytiscidae,Dryopidae,Family,Family,2,Young,Young
Dytiscidae Dytiscidae,Dytiscidae,Dytiscidae,Family,Family,1,Young and Adult,Young and Adult
Dytiscidae Elateridae,Dytiscidae,Elateridae,Family,Family,1,Young,Young
Dytiscidae Elmidae,Dytiscidae,Elmidae,Family,Family,2,Young,Young
Dytiscidae Ephemeridae,Dytiscidae,Ephemeridae,Family,Family,2,Young,Young
Dytiscidae Ephydridae,Dytiscidae,Ephydridae,Family,Family,2,Young,Young
Dytiscidae Gammaridae,Dytiscidae,Gammaridae,Family,Family,1; 2,Young,Young
Dytiscidae Geophilidae,Dytiscidae,Geophilidae,Family,Family,1,Young and Adult,Young and Adult
Dytiscidae Gerridae,Dytiscidae,Gerridae,Family,Family,1,,
Dytiscidae Haliplidae,Dytiscidae,Haliplidae,Family,Family,1; 2,Young,Young
Dytiscidae Heptageniidae,Dytiscidae,Heptageniidae,Family,Family,1; 2,Young,Young
Dytiscidae Hydrophilidae,Dytiscidae,Hydrophilidae,Family,Family,2,Young,Young
Dytiscidae Lepidostomatidae,Dytiscidae,Lepidostomatidae,Family,Family,2,Young,Young
Dytiscidae Leuctridae,Dytiscidae,Leuctridae,Family,Family,2,Young,Young
Dytiscidae Libellulidae,Dytiscidae,Libellulidae,Family,Family,1,Young,Young
Dytiscidae Limnephilidae,Dytiscidae,Limnephilidae,Family,Family,1; 2,Young,Young
Dytiscidae Limoniidae,Dytiscidae,Limoniidae,Family,Family,1; 2,Young,Young
Dytiscidae Lymnaeidae,Dytiscidae,Lymnaeidae,Family,Family,1; 2,Young,Young
Dytiscidae Nemouridae,Dytiscidae,Nemouridae,Family,Family,1; 2,Young,Young
Dytiscidae Nepidae,Dytiscidae,Nepidae,Family,Family,1,,
Dytiscidae Notonectidae,Dytiscidae,Notonectidae,Family,Family,1,Young and Adult,Young and Adult
Dytiscidae Philopotamidae,Dytiscidae,Philopotamidae,Family,Family,2,Young,Young
Dytiscidae Physidae,Dytiscidae,Physidae,Family,Family,2,Young,Young
Dytiscidae Plankton,Dytiscidae,Plankton,Family,Feeding guild,2,Young,
Dytiscidae Plants,Dytiscidae,Plants,Family,Feeding guild,2,,
Dytiscidae Psychodidae,Dytiscidae,Psychodidae,Family,Family,1; 2,Young,Young
Dytiscidae Ptychopteridae,Dytiscidae,Ptychopteridae,Family,Family,2,Young,Young
Dytiscidae Scirtidae,Dytiscidae,Scirtidae,Family,Family,2,Young,Young
Dytiscidae Sialidae,Dytiscidae,Sialidae,Family,Family,1,Young,Young
Dytiscidae Simuliidae,Dytiscidae,Simuliidae,Family,Family,2,Young,Young
Dytiscidae Staphylinidae,Dytiscidae,Staphylinidae,Family,Family,1,Young and Adult,Young and Adult
Dytiscidae Stratiomyidae,Dytiscidae,Stratiomyidae,Family,Family,1; 2,Young,Young
Dytiscidae Syrphidae,Dytiscidae,Syrphidae,Family,Family,2,Young,Young
Dytiscidae Tipulidae,Dytiscidae,Tipulidae,Family,Family,2,Young,Young
Ectobiidae Plants,Ectobiidae,Plants,Family,Feeding guild,2,,
Ectobiidae Terrestrial detritus,Ectobiidae,Terrestrial detritus,Family,Feeding guild,2,,
Ectopsocidae Algae,Ectopsocidae,Algae,Family,Feeding guild,13,Young and Adult,
Ectopsocidae Aquatic detritus,Ectopsocidae,Aquatic detritus,Family,Feeding guild,13,Young and Adult,
Ectopsocidae Terrestrial detritus,Ectopsocidae,Terrestrial detritus,Family,Feeding guild,13,Young and Adult,
Elateridae Cantharidae,Elateridae,Cantharidae,Family,Family,1,Young,Young
Elateridae Carabidae,Elateridae,Carabidae,Family,Family,1,Adult,Adult
Elateridae Cerambycidae,Elateridae,Cerambycidae,Family,Family,2,Young,
Elateridae Chordeumatidae,Elateridae,Chordeumatidae,Family,Family,1,Young and Adult,Young and Adult
Elateridae Chrysomelidae,Elateridae,Chrysomelidae,Family,Family,1,Adult,Adult
Elateridae Clubionidae,Elateridae,Clubionidae,Family,Family,1,Young,Young
Elateridae Coccinellidae,Elateridae,Coccinellidae,Family,Family,1,,
Elateridae Curculionidae,Elateridae,Curculionidae,Family,Family,1,Young,Young
Elateridae Elateridae,Elateridae,Elateridae,Family,Family,1,Young,Young
Elateridae Lampyridae,Elateridae,Lampyridae,Family,Family,1,Young,Young
Elateridae Mycetophagidae,Elateridae,Mycetophagidae,Family,Family,2,,
Elateridae Nitidulidae,Elateridae,Nitidulidae,Family,Family,1,Adult,Adult
Elateridae Plants,Elateridae,Plants,Family,Feeding guild,2,Young and Adult,
Elateridae Rhyparochromidae,Elateridae,Rhyparochromidae,Family,Family,1,,
Elateridae Scarabaeidae,Elateridae,Scarabaeidae,Family,Family,1,,
Elateridae Staphylinidae,Elateridae,Staphylinidae,Family,Family,1,Young and Adult,Young and Adult
Elipsocidae Terrestrial detritus,Elipsocidae,Terrestrial detritus,Family,Feeding guild,14,Young and Adult,
Ellobiidae Terrestrial detritus,Ellobiidae,Terrestrial detritus,Family,Feeding guild,15,Young and Adult,
Elmidae Algae,Elmidae,Algae,Family,Feeding guild,2,Young and Adult,
Elmidae Microbes,Elmidae,Microbes,Family,Feeding guild,2,,
Elmidae Plankton,Elmidae,Plankton,Family,Feeding guild,2,Young,
Elmidae Plants,Elmidae,Plants,Family,Feeding guild,2,Young,Young
Empididae Annelida,Empididae,Annelida,Family,Feeding guild,2,Young,Young
Empididae Baetidae,Empididae,Baetidae,Family,Family,2,Young,Young
Empididae Caenidae,Empididae,Caenidae,Family,Family,2,Young,Young
Empididae Capniidae,Empididae,Capniidae,Family,Family,2,Young,Young
Empididae Cecidomyiidae,Empididae,Cecidomyiidae,Family,Family,1,,
Empididae Ceratopogonidae,Empididae,Ceratopogonidae,Family,Family,1,,
Empididae Chironomidae,Empididae,Chironomidae,Family,Family,2,Young,Young
Empididae Chloropidae,Empididae,Chloropidae,Family,Family,1,,
Empididae Chrysomelidae,Empididae,Chrysomelidae,Family,Family,2,Young,Young
Empididae Culicidae,Empididae,Culicidae,Family,Family,2,Young,Young
Empididae Curculionidae,Empididae,Curculionidae,Family,Family,2,Young,Young
Empididae Dixidae,Empididae,Dixidae,Family,Family,2,Young,Young
Empididae Dolichopodidae,Empididae,Dolichopodidae,Family,Family,1,,
Empididae Drosophilidae,Empididae,Drosophilidae,Family,Family,1,,
Empididae Dryopidae,Empididae,Dryopidae,Family,Family,2,Young,Young
Empididae Elmidae,Empididae,Elmidae,Family,Family,2,Young,Young
Empididae Ephemeridae,Empididae,Ephemeridae,Family,Family,2,Young,Young
Empididae Ephydridae,Empididae,Ephydridae,Family,Family,1; 2,Young,Young
Empididae Gammaridae,Empididae,Gammaridae,Family,Family,2,Young,Young
Empididae Haliplidae,Empididae,Haliplidae,Family,Family,2,Young,Young
Empididae Heptageniidae,Empididae,Heptageniidae,Family,Family,2,Young,Young
Empididae Hybotidae,Empididae,Hybotidae,Family,Family,1,,
Empididae Hydrophilidae,Empididae,Hydrophilidae,Family,Family,2,Young,Young
Empididae Lepidostomatidae,Empididae,Lepidostomatidae,Family,Family,2,Young,Young
Empididae Leuctridae,Empididae,Leuctridae,Family,Family,2,Young,Young
Empididae Limnephilidae,Empididae,Limnephilidae,Family,Family,2,Young,Young
Empididae Limoniidae,Empididae,Limoniidae,Family,Family,2,Young,Young
Empididae Lymnaeidae,Empididae,Lymnaeidae,Family,Family,2,Young,Young
Empididae Nemouridae,Empididae,Nemouridae,Family,Family,2,Young,Young
Empididae Philopotamidae,Empididae,Philopotamidae,Family,Family,2,Young,Young
Empididae Phoridae,Empididae,Phoridae,Family,Family,1,,
Empididae Physidae,Empididae,Physidae,Family,Family,2,Young,Young
Empididae Plankton,Empididae,Plankton,Family,Feeding guild,2,Young,
Empididae Plants,Empididae,Plants,Family,Feeding guild,2,,
Empididae Psychodidae,Empididae,Psychodidae,Family,Family,1; 2,Young and Adult,Young and Adult
Empididae Ptychopteridae,Empididae,Ptychopteridae,Family,Family,2,Young,Young
Empididae Sciaridae,Empididae,Sciaridae,Family,Family,1,,
Empididae Scirtidae,Empididae,Scirtidae,Family,Family,2,Young,Young
Empididae Simuliidae,Empididae,Simuliidae,Family,Family,2,Young,Young
Empididae Stratiomyidae,Empididae,Stratiomyidae,Family,Family,2,Young,Young
Empididae Syrphidae,Empididae,Syrphidae,Family,Family,2,Young,Young
Empididae Tipulidae,Empididae,Tipulidae,Family,Family,2,Young,Young
Ephemeridae Plants,Ephemeridae,Plants,Family,Feeding guild,2,Young,
Ephydridae Algae,Ephydridae,Algae,Family,Feeding guild,2,Adult,
Ephydridae Aquatic detritus,Ephydridae,Aquatic detritus,Family,Feeding guild,2,Young,
Ephydridae Cecidomyiidae,Ephydridae,Cecidomyiidae,Family,Family,1,,
Ephydridae Ceratopogonidae,Ephydridae,Ceratopogonidae,Family,Family,1,,
Ephydridae Chironomidae,Ephydridae,Chironomidae,Family,Family,2,Young,Young
Ephydridae Hybotidae,Ephydridae,Hybotidae,Family,Family,1,,
Ephydridae Microbes,Ephydridae,Microbes,Family,Feeding guild,2,Adult,
Ephydridae Plants,Ephydridae,Plants,Family,Feeding guild,2,Young,Young
Ephydridae Psychodidae,Ephydridae,Psychodidae,Family,Family,1,Adult,Adult
Erebidae Agromyzidae,Erebidae,Agromyzidae,Family,Family,1,,
Erebidae Plants,Erebidae,Plants,Family,Feeding guild,2,Young and Adult,
Eurycercidae Algae,Eurycercidae,Algae,Family,Feeding guild,19,Adult,
Eurycercidae Aquatic detritus,Eurycercidae,Aquatic detritus,Family,Feeding guild,19,Adult,
Fanniidae Aquatic detritus,Fanniidae,Aquatic detritus,Family,Feeding guild,2,,
Fanniidae Fungi,Fanniidae,Fungi,Family,Feeding guild,2,Young,
Fanniidae Scavenger,Fanniidae,Scavenger,Family,Feeding guild,2,,
Formicidae Carabidae,Formicidae,Carabidae,Family,Family,1,,
Formicidae Cerambycidae,Formicidae,Cerambycidae,Family,Family,1,Young,Young
Formicidae Chironomidae,Formicidae,Chironomidae,Family,Family,1,Young,Young
Formicidae Chrysomelidae,Formicidae,Chrysomelidae,Family,Family,1,Young,Young
