"","Interaction","Source_Name","Target_Name","Source_Rank","Target_Rank","fg"
"575","Clubionidae Dolichopodidae","Clubionidae","Dolichopodidae","Family","Family","Predator"
"576","Clubionidae Drosophilidae","Clubionidae","Drosophilidae","Family","Family","Predator"
"577","Clubionidae Ectobiidae","Clubionidae","Ectobiidae","Family","Family","Predator"
"578","Clubionidae Elateridae","Clubionidae","Elateridae","Family","Family","Predator"
"579","Clubionidae Empididae","Clubionidae","Empididae","Family","Family","Predator"
"580","Clubionidae Ephydridae","Clubionidae","Ephydridae","Family","Family","Predator"
"581","Clubionidae Formicidae","Clubionidae","Formicidae","Family","Family","Predator"
"582","Clubionidae Geophilidae","Clubionidae","Geophilidae","Family","Family","Predator"
"583","Clubionidae Hybotidae","Clubionidae","Hybotidae","Family","Family","Predator"
"584","Clubionidae Lampyridae","Clubionidae","Lampyridae","Family","Family","Predator"
"585","Clubionidae Limoniidae","Clubionidae","Limoniidae","Family","Family","Predator"
"586","Clubionidae Lycosidae","Clubionidae","Lycosidae","Family","Family","Predator"
"587","Clubionidae Lygaeidae","Clubionidae","Lygaeidae","Family","Family","Predator"
"588","Clubionidae Miridae","Clubionidae","Miridae","Family","Family","Predator"
"589","Clubionidae Muscidae","Clubionidae","Muscidae","Family","Family","Predator"
"590","Clubionidae Nitidulidae","Clubionidae","Nitidulidae","Family","Family","Predator"
"591","Clubionidae Phoridae","Clubionidae","Phoridae","Family","Family","Predator"
"592","Clubionidae Psychodidae","Clubionidae","Psychodidae","Family","Family","Predator"
"593","Clubionidae Rhyparochromidae","Clubionidae","Rhyparochromidae","Family","Family","Predator"
"594","Clubionidae Sciaridae","Clubionidae","Sciaridae","Family","Family","Predator"
"595","Clubionidae Sciomyzidae","Clubionidae","Sciomyzidae","Family","Family","Predator"
"596","Clubionidae Staphylinidae","Clubionidae","Staphylinidae","Family","Family","Predator"
"597","Clubionidae Syrphidae","Clubionidae","Syrphidae","Family","Family","Predator"
"598","Coccinellidae Chrysomelidae","Coccinellidae","Chrysomelidae","Family","Family","Omnivore"
"599","Coccinellidae Cicadellidae","Coccinellidae","Cicadellidae","Family","Family","Omnivore"
"600","Coccinellidae Coccinellidae","Coccinellidae","Coccinellidae","Family","Family","Omnivore"
"601","Coccinellidae Crambidae","Coccinellidae","Crambidae","Family","Family","Omnivore"
"602","Coccinellidae Elipsocidae","Coccinellidae","Elipsocidae","Family","Family","Omnivore"
"603","Coccinellidae Geometridae","Coccinellidae","Geometridae","Family","Family","Omnivore"
"604","Coccinellidae Lygaeidae","Coccinellidae","Lygaeidae","Family","Family","Omnivore"
"605","Coccinellidae Miridae","Coccinellidae","Miridae","Family","Family","Omnivore"
"606","Coccinellidae Plants","Coccinellidae","Plants","Family","Feeding guild","Omnivore"
"607","Coccinellidae Rhyparochromidae","Coccinellidae","Rhyparochromidae","Family","Family","Omnivore"
"608","Coccinellidae Scarabaeidae","Coccinellidae","Scarabaeidae","Family","Family","Omnivore"
"609","Coccinellidae Tabanidae","Coccinellidae","Tabanidae","Family","Family","Omnivore"
"610","Coenagrionidae Anthomyiidae","Coenagrionidae","Anthomyiidae","Family","Family","Omnivore"
"611","Coenagrionidae Baetidae","Coenagrionidae","Baetidae","Family","Family","Omnivore"
"612","Coenagrionidae Caeciliusidae","Coenagrionidae","Caeciliusidae","Family","Family","Omnivore"
"613","Coenagrionidae Caenidae","Coenagrionidae","Caenidae","Family","Family","Omnivore"
"614","Coenagrionidae Calliphoridae","Coenagrionidae","Calliphoridae","Family","Family","Omnivore"
"615","Coenagrionidae Cantharidae","Coenagrionidae","Cantharidae","Family","Family","Omnivore"
"616","Coenagrionidae Capniidae","Coenagrionidae","Capniidae","Family","Family","Omnivore"
"617","Coenagrionidae Carabidae","Coenagrionidae","Carabidae","Family","Family","Omnivore"
"618","Coenagrionidae Cecidomyiidae","Coenagrionidae","Cecidomyiidae","Family","Family","Omnivore"
"619","Coenagrionidae Ceratopogonidae","Coenagrionidae","Ceratopogonidae","Family","Family","Omnivore"
"620","Coenagrionidae Chironomidae","Coenagrionidae","Chironomidae","Family","Family","Omnivore"
"621","Coenagrionidae Chloropidae","Coenagrionidae","Chloropidae","Family","Family","Omnivore"
"622","Coenagrionidae Chrysomelidae","Coenagrionidae","Chrysomelidae","Family","Family","Omnivore"
"623","Coenagrionidae Coccinellidae","Coenagrionidae","Coccinellidae","Family","Family","Omnivore"
"624","Coenagrionidae Coenagrionidae","Coenagrionidae","Coenagrionidae","Family","Family","Omnivore"
"625","Coenagrionidae Culicidae","Coenagrionidae","Culicidae","Family","Family","Omnivore"
"626","Coenagrionidae Curculionidae","Coenagrionidae","Curculionidae","Family","Family","Omnivore"
"627","Coenagrionidae Dixidae","Coenagrionidae","Dixidae","Family","Family","Omnivore"
"628","Coenagrionidae Dolichopodidae","Coenagrionidae","Dolichopodidae","Family","Family","Omnivore"
"629","Coenagrionidae Drosophilidae","Coenagrionidae","Drosophilidae","Family","Family","Omnivore"
"630","Coenagrionidae Dryopidae","Coenagrionidae","Dryopidae","Family","Family","Omnivore"
"631","Coenagrionidae Dytiscidae","Coenagrionidae","Dytiscidae","Family","Family","Omnivore"
"632","Coenagrionidae Elateridae","Coenagrionidae","Elateridae","Family","Family","Omnivore"
"633","Coenagrionidae Elmidae","Coenagrionidae","Elmidae","Family","Family","Omnivore"
"634","Coenagrionidae Empididae","Coenagrionidae","Empididae","Family","Family","Omnivore"
"635","Coenagrionidae Ephemeridae","Coenagrionidae","Ephemeridae","Family","Family","Omnivore"
"636","Coenagrionidae Ephydridae","Coenagrionidae","Ephydridae","Family","Family","Omnivore"
"637","Coenagrionidae Erebidae","Coenagrionidae","Erebidae","Family","Family","Omnivore"
"638","Coenagrionidae Formicidae","Coenagrionidae","Formicidae","Family","Family","Omnivore"
"639","Coenagrionidae Gammaridae","Coenagrionidae","Gammaridae","Family","Family","Omnivore"
"640","Coenagrionidae Geometridae","Coenagrionidae","Geometridae","Family","Family","Omnivore"
"641","Coenagrionidae Gerridae","Coenagrionidae","Gerridae","Family","Family","Omnivore"
"642","Coenagrionidae Haliplidae","Coenagrionidae","Haliplidae","Family","Family","Omnivore"
"643","Coenagrionidae Heptageniidae","Coenagrionidae","Heptageniidae","Family","Family","Omnivore"
"644","Coenagrionidae Hybotidae","Coenagrionidae","Hybotidae","Family","Family","Omnivore"
"645","Coenagrionidae Hydrophilidae","Coenagrionidae","Hydrophilidae","Family","Family","Omnivore"
"646","Coenagrionidae Lepidostomatidae","Coenagrionidae","Lepidostomatidae","Family","Family","Omnivore"
"647","Coenagrionidae Leuctridae","Coenagrionidae","Leuctridae","Family","Family","Omnivore"
"648","Coenagrionidae Limnephilidae","Coenagrionidae","Limnephilidae","Family","Family","Omnivore"
"649","Coenagrionidae Limoniidae","Coenagrionidae","Limoniidae","Family","Family","Omnivore"
"650","Coenagrionidae Lymnaeidae","Coenagrionidae","Lymnaeidae","Family","Family","Omnivore"
"651","Coenagrionidae Miridae","Coenagrionidae","Miridae","Family","Family","Omnivore"
"652","Coenagrionidae Muscidae","Coenagrionidae","Muscidae","Family","Family","Omnivore"
"653","Coenagrionidae Nemouridae","Coenagrionidae","Nemouridae","Family","Family","Omnivore"
"654","Coenagrionidae Nitidulidae","Coenagrionidae","Nitidulidae","Family","Family","Omnivore"
"655","Coenagrionidae Noctuidae","Coenagrionidae","Noctuidae","Family","Family","Omnivore"
"656","Coenagrionidae Notonectidae","Coenagrionidae","Notonectidae","Family","Family","Omnivore"
"657","Coenagrionidae Philopotamidae","Coenagrionidae","Philopotamidae","Family","Family","Omnivore"
"658","Coenagrionidae Phoridae","Coenagrionidae","Phoridae","Family","Family","Omnivore"
"659","Coenagrionidae Physidae","Coenagrionidae","Physidae","Family","Family","Omnivore"
"660","Coenagrionidae Plankton","Coenagrionidae","Plankton","Family","Feeding guild","Omnivore"
"661","Coenagrionidae Plants","Coenagrionidae","Plants","Family","Feeding guild","Omnivore"
"662","Coenagrionidae Platypezidae","Coenagrionidae","Platypezidae","Family","Family","Omnivore"
"663","Coenagrionidae Psychodidae","Coenagrionidae","Psychodidae","Family","Family","Omnivore"
"664","Coenagrionidae Ptychopteridae","Coenagrionidae","Ptychopteridae","Family","Family","Omnivore"
"665","Coenagrionidae Sarcophagidae","Coenagrionidae","Sarcophagidae","Family","Family","Omnivore"
"666","Coenagrionidae Scarabaeidae","Coenagrionidae","Scarabaeidae","Family","Family","Omnivore"
"667","Coenagrionidae Sciaridae","Coenagrionidae","Sciaridae","Family","Family","Omnivore"
"668","Coenagrionidae Sciomyzidae","Coenagrionidae","Sciomyzidae","Family","Family","Omnivore"
"669","Coenagrionidae Scirtidae","Coenagrionidae","Scirtidae","Family","Family","Omnivore"
"670","Coenagrionidae Sialidae","Coenagrionidae","Sialidae","Family","Family","Omnivore"
"671","Coenagrionidae Simuliidae","Coenagrionidae","Simuliidae","Family","Family","Omnivore"
"672","Coenagrionidae Staphylinidae","Coenagrionidae","Staphylinidae","Family","Family","Omnivore"
"673","Coenagrionidae Stratiomyidae","Coenagrionidae","Stratiomyidae","Family","Family","Omnivore"
"674","Coenagrionidae Syrphidae","Coenagrionidae","Syrphidae","Family","Family","Omnivore"
"675","Coenagrionidae Tephritidae","Coenagrionidae","Tephritidae","Family","Family","Omnivore"
"676","Coenagrionidae Tipulidae","Coenagrionidae","Tipulidae","Family","Family","Omnivore"
"677","Coenagrionidae Tortricidae","Coenagrionidae","Tortricidae","Family","Family","Omnivore"
"678","Collembola Fungi","Tullbergiidae","Fungi","Feeding guild","Feeding guild","Phytosaprophage"
"679","Collembola Fungi","Isotomidae","Fungi","Feeding guild","Feeding guild","Phytosaprophage"
"680","Collembola Fungi","Entomobryidae","Fungi","Feeding guild","Feeding guild","Phytosaprophage"
"683","Collembola Fungi","Neelidae","Fungi","Feeding guild","Feeding guild","Phytosaprophage"
"685","Collembola Fungi","Neanuridae","Fungi","Feeding guild","Feeding guild","Phytosaprophage"
"687","Collembola Fungi","Katiannidae","Fungi","Feeding guild","Feeding guild","Phytosaprophage"
"689","Collembola Fungi","Hypogastruridae","Fungi","Feeding guild","Feeding guild","Phytosaprophage"
"692","Collembola Fungi","Onychiuridae","Fungi","Feeding guild","Feeding guild","Phytosaprophage"
"693","Collembola Fungi","Dicyrtomidae","Fungi","Feeding guild","Feeding guild","Phytosaprophage"
"694","Collembola Fungi","Orchesellidae","Fungi","Feeding guild","Feeding guild","Phytosaprophage"
"713","Collembola Plants","Tullbergiidae","Plants","Feeding guild","Feeding guild","Phytosaprophage"
"714","Collembola Plants","Isotomidae","Plants","Feeding guild","Feeding guild","Phytosaprophage"
"715","Collembola Plants","Entomobryidae","Plants","Feeding guild","Feeding guild","Phytosaprophage"
"718","Collembola Plants","Neelidae","Plants","Feeding guild","Feeding guild","Phytosaprophage"
"720","Collembola Plants","Neanuridae","Plants","Feeding guild","Feeding guild","Phytosaprophage"
"722","Collembola Plants","Katiannidae","Plants","Feeding guild","Feeding guild","Phytosaprophage"
"724","Collembola Plants","Hypogastruridae","Plants","Feeding guild","Feeding guild","Phytosaprophage"
"727","Collembola Plants","Onychiuridae","Plants","Feeding guild","Feeding guild","Phytosaprophage"
"728","Collembola Plants","Dicyrtomidae","Plants","Feeding guild","Feeding guild","Phytosaprophage"
"729","Collembola Plants","Orchesellidae","Plants","Feeding guild","Feeding guild","Phytosaprophage"
"748","Collembola Terrestrial detritus","Tullbergiidae","Terrestrial detritus","Feeding guild","Feeding guild","Phytosaprophage"
"749","Collembola Terrestrial detritus","Isotomidae","Terrestrial detritus","Feeding guild","Feeding guild","Phytosaprophage"
"750","Collembola Terrestrial detritus","Entomobryidae","Terrestrial detritus","Feeding guild","Feeding guild","Phytosaprophage"
"753","Collembola Terrestrial detritus","Neelidae","Terrestrial detritus","Feeding guild","Feeding guild","Phytosaprophage"
"755","Collembola Terrestrial detritus","Neanuridae","Terrestrial detritus","Feeding guild","Feeding guild","Phytosaprophage"
"757","Collembola Terrestrial detritus","Katiannidae","Terrestrial detritus","Feeding guild","Feeding guild","Phytosaprophage"
"759","Collembola Terrestrial detritus","Hypogastruridae","Terrestrial detritus","Feeding guild","Feeding guild","Phytosaprophage"
"762","Collembola Terrestrial detritus","Onychiuridae","Terrestrial detritus","Feeding guild","Feeding guild","Phytosaprophage"
"763","Collembola Terrestrial detritus","Dicyrtomidae","Terrestrial detritus","Feeding guild","Feeding guild","Phytosaprophage"
"764","Collembola Terrestrial detritus","Orchesellidae","Terrestrial detritus","Feeding guild","Feeding guild","Phytosaprophage"
"783","Corduliidae Agromyzidae","Corduliidae","Agromyzidae","Family","Family","Omnivore"
"784","Corduliidae Arrenuridae","Corduliidae","Arrenuridae","Family","Family","Omnivore"
"785","Corduliidae Baetidae","Corduliidae","Baetidae","Family","Family","Omnivore"
"786","Corduliidae Caenidae","Corduliidae","Caenidae","Family","Family","Omnivore"
"787","Corduliidae Calliphoridae","Corduliidae","Calliphoridae","Family","Family","Omnivore"
"788","Corduliidae Cantharidae","Corduliidae","Cantharidae","Family","Family","Omnivore"
"789","Corduliidae Cecidomyiidae","Corduliidae","Cecidomyiidae","Family","Family","Omnivore"
"790","Corduliidae Ceratopogonidae","Corduliidae","Ceratopogonidae","Family","Family","Omnivore"
"791","Corduliidae Chironomidae","Corduliidae","Chironomidae","Family","Family","Omnivore"
"792","Corduliidae Chloropidae","Corduliidae","Chloropidae","Family","Family","Omnivore"
"793","Corduliidae Chrysomelidae","Corduliidae","Chrysomelidae","Family","Family","Omnivore"
"794","Corduliidae Coccinellidae","Corduliidae","Coccinellidae","Family","Family","Omnivore"
"795","Corduliidae Coenagrionidae","Corduliidae","Coenagrionidae","Family","Family","Omnivore"
"796","Corduliidae Curculionidae","Corduliidae","Curculionidae","Family","Family","Omnivore"
"797","Corduliidae Dolichopodidae","Corduliidae","Dolichopodidae","Family","Family","Omnivore"
"798","Corduliidae Drosophilidae","Corduliidae","Drosophilidae","Family","Family","Omnivore"
"799","Corduliidae Dytiscidae","Corduliidae","Dytiscidae","Family","Family","Omnivore"
"800","Corduliidae Elateridae","Corduliidae","Elateridae","Family","Family","Omnivore"
"801","Corduliidae Empididae","Corduliidae","Empididae","Family","Family","Omnivore"
"802","Corduliidae Ephydridae","Corduliidae","Ephydridae","Family","Family","Omnivore"
"803","Corduliidae Haliplidae","Corduliidae","Haliplidae","Family","Family","Omnivore"
"804","Corduliidae Hepialidae","Corduliidae","Hepialidae","Family","Family","Omnivore"
"805","Corduliidae Hybotidae","Corduliidae","Hybotidae","Family","Family","Omnivore"
"806","Corduliidae Lauxaniidae","Corduliidae","Lauxaniidae","Family","Family","Omnivore"
"807","Corduliidae Limnephilidae","Corduliidae","Limnephilidae","Family","Family","Omnivore"
"808","Corduliidae Limoniidae","Corduliidae","Limoniidae","Family","Family","Omnivore"
"809","Corduliidae Lonchopteridae","Corduliidae","Lonchopteridae","Family","Family","Omnivore"
"810","Corduliidae Lymnaeidae","Corduliidae","Lymnaeidae","Family","Family","Omnivore"
"811","Corduliidae Muscidae","Corduliidae","Muscidae","Family","Family","Omnivore"
"812","Corduliidae Nitidulidae","Corduliidae","Nitidulidae","Family","Family","Omnivore"
"813","Corduliidae Noctuidae","Corduliidae","Noctuidae","Family","Family","Omnivore"
"814","Corduliidae Phoridae","Corduliidae","Phoridae","Family","Family","Omnivore"
"815","Corduliidae Plants","Corduliidae","Plants","Family","Feeding guild","Omnivore"
"816","Corduliidae Psychodidae","Corduliidae","Psychodidae","Family","Family","Omnivore"
"817","Corduliidae Sarcophagidae","Corduliidae","Sarcophagidae","Family","Family","Omnivore"
"818","Corduliidae Sciaridae","Corduliidae","Sciaridae","Family","Family","Omnivore"
"819","Corduliidae Sciomyzidae","Corduliidae","Sciomyzidae","Family","Family","Omnivore"
"820","Corduliidae Syrphidae","Corduliidae","Syrphidae","Family","Family","Omnivore"
"821","Corduliidae Tipulidae","Corduliidae","Tipulidae","Family","Family","Omnivore"
"822","Crambidae Limoniidae","Crambidae","Limoniidae","Family","Family","Omnivore"
"823","Crambidae Plants","Crambidae","Plants","Family","Feeding guild","Omnivore"
"824","Culicidae Aquatic detritus","Culicidae","Aquatic detritus","Family","Feeding guild","Omnivore"
"825","Culicidae Candonidae","Culicidae","Candonidae","Family","Family","Omnivore"
"826","Culicidae Culicidae","Culicidae","Culicidae","Family","Family","Omnivore"
"827","Culicidae Cyprididae","Culicidae","Cyprididae","Family","Family","Omnivore"
"828","Culicidae Haematophagous","Culicidae","Haematophagous","Family","Feeding guild","Omnivore"
"829","Culicidae Plankton","Culicidae","Plankton","Family","Feeding guild","Omnivore"
"830","Culicidae Plants","Culicidae","Plants","Family","Feeding guild","Omnivore"
"831","Curculionidae Curculionidae","Curculionidae","Curculionidae","Family","Family","Omnivore"
"832","Curculionidae Plants","Curculionidae","Plants","Family","Feeding guild","Omnivore"
"833","Curculionidae Tenthredinidae","Curculionidae","Tenthredinidae","Family","Family","Omnivore"
"834","Curculionidae Terrestrial detritus","Curculionidae","Terrestrial detritus","Family","Feeding guild","Omnivore"
"835","Cyclopidae Algae","Cyclopidae","Algae","Family","Feeding guild","Omnivore"
"836","Cyclopidae Brachionidae","Cyclopidae","Brachionidae","Family","Family","Omnivore"
"837","Cyclopidae Chironomidae","Cyclopidae","Chironomidae","Family","Family","Omnivore"
"838","Cyprididae Algae","Cyprididae","Algae","Family","Feeding guild","Detritivore"
"839","Cyprididae Aquatic detritus","Cyprididae","Aquatic detritus","Family","Feeding guild","Detritivore"
"840","Daphniidae Algae","Daphniidae","Algae","Family","Feeding guild","Detritivore"
"841","Daphniidae Aquatic detritus","Daphniidae","Aquatic detritus","Family","Feeding guild","Detritivore"
"842","Darwinulidae Algae","Darwinulidae","Algae","Family","Feeding guild","Detritivore"
"843","Darwinulidae Aquatic detritus","Darwinulidae","Aquatic detritus","Family","Feeding guild","Detritivore"
"844","Dasydytidae Aquatic detritus","Dasydytidae","Aquatic detritus","Family","Feeding guild","Detritivore"
"845","Dixidae Aquatic detritus","Dixidae","Aquatic detritus","Family","Feeding guild","Phytosaprophage"
"846","Dixidae Plankton","Dixidae","Plankton","Family","Feeding guild","Phytosaprophage"
"847","Dixidae Plants","Dixidae","Plants","Family","Feeding guild","Phytosaprophage"
"848","Dolichopodidae Baetidae","Dolichopodidae","Baetidae","Family","Family","Omnivore"
"849","Dolichopodidae Caenidae","Dolichopodidae","Caenidae","Family","Family","Omnivore"
"850","Dolichopodidae Capniidae","Dolichopodidae","Capniidae","Family","Family","Omnivore"
"851","Dolichopodidae Ceratopogonidae","Dolichopodidae","Ceratopogonidae","Family","Family","Omnivore"
"852","Dolichopodidae Chironomidae","Dolichopodidae","Chironomidae","Family","Family","Omnivore"
"853","Dolichopodidae Chloropidae","Dolichopodidae","Chloropidae","Family","Family","Omnivore"
"854","Dolichopodidae Chrysomelidae","Dolichopodidae","Chrysomelidae","Family","Family","Omnivore"
"855","Dolichopodidae Cicadellidae","Dolichopodidae","Cicadellidae","Family","Family","Omnivore"
"856","Dolichopodidae Culicidae","Dolichopodidae","Culicidae","Family","Family","Omnivore"
"857","Dolichopodidae Curculionidae","Dolichopodidae","Curculionidae","Family","Family","Omnivore"
"858","Dolichopodidae Dixidae","Dolichopodidae","Dixidae","Family","Family","Omnivore"
"859","Dolichopodidae Dolichopodidae","Dolichopodidae","Dolichopodidae","Family","Family","Omnivore"
"860","Dolichopodidae Drosophilidae","Dolichopodidae","Drosophilidae","Family","Family","Omnivore"
"861","Dolichopodidae Dryopidae","Dolichopodidae","Dryopidae","Family","Family","Omnivore"
"862","Dolichopodidae Elmidae","Dolichopodidae","Elmidae","Family","Family","Omnivore"
"863","Dolichopodidae Empididae","Dolichopodidae","Empididae","Family","Family","Omnivore"
"864","Dolichopodidae Ephemeridae","Dolichopodidae","Ephemeridae","Family","Family","Omnivore"
"865","Dolichopodidae Ephydridae","Dolichopodidae","Ephydridae","Family","Family","Omnivore"
"866","Dolichopodidae Formicidae","Dolichopodidae","Formicidae","Family","Family","Omnivore"
"867","Dolichopodidae Gammaridae","Dolichopodidae","Gammaridae","Family","Family","Omnivore"
"868","Dolichopodidae Haliplidae","Dolichopodidae","Haliplidae","Family","Family","Omnivore"
"869","Dolichopodidae Heptageniidae","Dolichopodidae","Heptageniidae","Family","Family","Omnivore"
"870","Dolichopodidae Hybotidae","Dolichopodidae","Hybotidae","Family","Family","Omnivore"
"871","Dolichopodidae Hydrophilidae","Dolichopodidae","Hydrophilidae","Family","Family","Omnivore"
"872","Dolichopodidae Lepidostomatidae","Dolichopodidae","Lepidostomatidae","Family","Family","Omnivore"
"873","Dolichopodidae Leuctridae","Dolichopodidae","Leuctridae","Family","Family","Omnivore"
"874","Dolichopodidae Limnephilidae","Dolichopodidae","Limnephilidae","Family","Family","Omnivore"
"875","Dolichopodidae Limoniidae","Dolichopodidae","Limoniidae","Family","Family","Omnivore"
"876","Dolichopodidae Lymnaeidae","Dolichopodidae","Lymnaeidae","Family","Family","Omnivore"
"877","Dolichopodidae Muscidae","Dolichopodidae","Muscidae","Family","Family","Omnivore"
"878","Dolichopodidae Nemouridae","Dolichopodidae","Nemouridae","Family","Family","Omnivore"
"879","Dolichopodidae Philopotamidae","Dolichopodidae","Philopotamidae","Family","Family","Omnivore"
"880","Dolichopodidae Phoridae","Dolichopodidae","Phoridae","Family","Family","Omnivore"
"881","Dolichopodidae Physidae","Dolichopodidae","Physidae","Family","Family","Omnivore"
"882","Dolichopodidae Plankton","Dolichopodidae","Plankton","Family","Feeding guild","Omnivore"
"883","Dolichopodidae Plants","Dolichopodidae","Plants","Family","Feeding guild","Omnivore"
"884","Dolichopodidae Psychodidae","Dolichopodidae","Psychodidae","Family","Family","Omnivore"
"885","Dolichopodidae Ptychopteridae","Dolichopodidae","Ptychopteridae","Family","Family","Omnivore"
"886","Dolichopodidae Sciaridae","Dolichopodidae","Sciaridae","Family","Family","Omnivore"
"887","Dolichopodidae Scirtidae","Dolichopodidae","Scirtidae","Family","Family","Omnivore"
"888","Dolichopodidae Simuliidae","Dolichopodidae","Simuliidae","Family","Family","Omnivore"
"889","Dolichopodidae Stratiomyidae","Dolichopodidae","Stratiomyidae","Family","Family","Omnivore"
"890","Dolichopodidae Syrphidae","Dolichopodidae","Syrphidae","Family","Family","Omnivore"
"891","Dolichopodidae Tipulidae","Dolichopodidae","Tipulidae","Family","Family","Omnivore"
"892","Drosophilidae Plants","Drosophilidae","Plants","Family","Feeding guild","Herbivore"
"893","Dryopidae Plankton","Dryopidae","Plankton","Family","Feeding guild","Phytosaprophage"
"894","Dryopidae Plants","Dryopidae","Plants","Family","Feeding guild","Phytosaprophage"
"895","Dytiscidae Aeshnidae","Dytiscidae","Aeshnidae","Family","Family","Omnivore"
"896","Dytiscidae Baetidae","Dytiscidae","Baetidae","Family","Family","Omnivore"
"897","Dytiscidae Caenidae","Dytiscidae","Caenidae","Family","Family","Omnivore"
"898","Dytiscidae Candonidae","Dytiscidae","Candonidae","Family","Family","Omnivore"
"899","Dytiscidae Cantharidae","Dytiscidae","Cantharidae","Family","Family","Omnivore"
"900","Dytiscidae Capniidae","Dytiscidae","Capniidae","Family","Family","Omnivore"
"901","Dytiscidae Ceratopogonidae","Dytiscidae","Ceratopogonidae","Family","Family","Omnivore"
"902","Dytiscidae Chironomidae","Dytiscidae","Chironomidae","Family","Family","Omnivore"
"903","Dytiscidae Chordeumatidae","Dytiscidae","Chordeumatidae","Family","Family","Omnivore"
"904","Dytiscidae Chrysomelidae","Dytiscidae","Chrysomelidae","Family","Family","Omnivore"
"905","Dytiscidae Clubionidae","Dytiscidae","Clubionidae","Family","Family","Omnivore"
"906","Dytiscidae Coenagrionidae","Dytiscidae","Coenagrionidae","Family","Family","Omnivore"
"907","Dytiscidae Corduliidae","Dytiscidae","Corduliidae","Family","Family","Omnivore"
"908","Dytiscidae Culicidae","Dytiscidae","Culicidae","Family","Family","Omnivore"
"909","Dytiscidae Curculionidae","Dytiscidae","Curculionidae","Family","Family","Omnivore"
"910","Dytiscidae Dixidae","Dytiscidae","Dixidae","Family","Family","Omnivore"
"911","Dytiscidae Dryopidae","Dytiscidae","Dryopidae","Family","Family","Omnivore"
"912","Dytiscidae Dytiscidae","Dytiscidae","Dytiscidae","Family","Family","Omnivore"
"913","Dytiscidae Elateridae","Dytiscidae","Elateridae","Family","Family","Omnivore"
"914","Dytiscidae Elmidae","Dytiscidae","Elmidae","Family","Family","Omnivore"
"915","Dytiscidae Ephemeridae","Dytiscidae","Ephemeridae","Family","Family","Omnivore"
"916","Dytiscidae Ephydridae","Dytiscidae","Ephydridae","Family","Family","Omnivore"
"917","Dytiscidae Gammaridae","Dytiscidae","Gammaridae","Family","Family","Omnivore"
"918","Dytiscidae Geophilidae","Dytiscidae","Geophilidae","Family","Family","Omnivore"
"919","Dytiscidae Gerridae","Dytiscidae","Gerridae","Family","Family","Omnivore"
"920","Dytiscidae Haliplidae","Dytiscidae","Haliplidae","Family","Family","Omnivore"
"921","Dytiscidae Heptageniidae","Dytiscidae","Heptageniidae","Family","Family","Omnivore"
"922","Dytiscidae Hydrophilidae","Dytiscidae","Hydrophilidae","Family","Family","Omnivore"
"923","Dytiscidae Lepidostomatidae","Dytiscidae","Lepidostomatidae","Family","Family","Omnivore"
"924","Dytiscidae Leuctridae","Dytiscidae","Leuctridae","Family","Family","Omnivore"
"925","Dytiscidae Libellulidae","Dytiscidae","Libellulidae","Family","Family","Omnivore"
"926","Dytiscidae Limnephilidae","Dytiscidae","Limnephilidae","Family","Family","Omnivore"
"927","Dytiscidae Limoniidae","Dytiscidae","Limoniidae","Family","Family","Omnivore"
"928","Dytiscidae Lymnaeidae","Dytiscidae","Lymnaeidae","Family","Family","Omnivore"
"929","Dytiscidae Nemouridae","Dytiscidae","Nemouridae","Family","Family","Omnivore"
"930","Dytiscidae Nepidae","Dytiscidae","Nepidae","Family","Family","Omnivore"
"931","Dytiscidae Notonectidae","Dytiscidae","Notonectidae","Family","Family","Omnivore"
"932","Dytiscidae Philopotamidae","Dytiscidae","Philopotamidae","Family","Family","Omnivore"
"933","Dytiscidae Physidae","Dytiscidae","Physidae","Family","Family","Omnivore"
"934","Dytiscidae Plankton","Dytiscidae","Plankton","Family","Feeding guild","Omnivore"
"935","Dytiscidae Plants","Dytiscidae","Plants","Family","Feeding guild","Omnivore"
"936","Dytiscidae Psychodidae","Dytiscidae","Psychodidae","Family","Family","Omnivore"
"937","Dytiscidae Ptychopteridae","Dytiscidae","Ptychopteridae","Family","Family","Omnivore"
"938","Dytiscidae Scirtidae","Dytiscidae","Scirtidae","Family","Family","Omnivore"
"939","Dytiscidae Sialidae","Dytiscidae","Sialidae","Family","Family","Omnivore"
"940","Dytiscidae Simuliidae","Dytiscidae","Simuliidae","Family","Family","Omnivore"
"941","Dytiscidae Staphylinidae","Dytiscidae","Staphylinidae","Family","Family","Omnivore"
"942","Dytiscidae Stratiomyidae","Dytiscidae","Stratiomyidae","Family","Family","Omnivore"
"943","Dytiscidae Syrphidae","Dytiscidae","Syrphidae","Family","Family","Omnivore"
"944","Dytiscidae Tipulidae","Dytiscidae","Tipulidae","Family","Family","Omnivore"
"945","Ectobiidae Plants","Ectobiidae","Plants","Family","Feeding guild","Phytosaprophage"
"946","Ectobiidae Terrestrial detritus","Ectobiidae","Terrestrial detritus","Family","Feeding guild","Phytosaprophage"
"947","Ectopsocidae Algae","Ectopsocidae","Algae","Family","Feeding guild","Detritivore"
"948","Ectopsocidae Aquatic detritus","Ectopsocidae","Aquatic detritus","Family","Feeding guild","Detritivore"
"949","Ectopsocidae Terrestrial detritus","Ectopsocidae","Terrestrial detritus","Family","Feeding guild","Detritivore"
